job_name,instance_count,failed_instance_count,instance_fail_rate,inst_duration_mean,inst_duration_max,inst_duration_std,cpu_avg_mean,cpu_avg_max,cpu_max_mean,cpu_max_max,mem_avg_mean,mem_avg_max,mem_max_mean,mem_max_max,cpu_spike_mean,mem_spike_mean,first_start_time,last_end_time,primary_machine_id,unique_machines,job_failure,runtime_span,task_count,unique_task_count,total_instances,max_instances_per_task,mean_instances_per_task,dag_depth,fan_in_mean,fan_in_max,root_task_ratio,plan_cpu_mean,plan_cpu_max,plan_cpu_sum,plan_mem_mean,plan_mem_max,plan_mem_sum,resource_product_sum,task_start_min,task_end_max,task_duration_mean,task_duration_max,task_fail_rate,job_span,parallelism_proxy,dependency_density,cpu_mem_ratio,critical_path_proxy,dag_complexity,machine_id,machine_cpu_mean,machine_cpu_std,machine_cpu_max,machine_mem_mean,machine_mem_std,machine_mem_max,machine_net_in_mean,machine_net_out_mean,machine_disk_mean,machine_records,machine_pressure,submit_hour,submit_day,sin_hour,cos_hour,prev_failure_rate_200,prev_runtime_mean_200,local_arrival_density_200,cx_dag,cx_pressure,cx_retry,cx_parallel,cx_span,complexity_score
j_2420514,1,0,0.0,0.0,0,,37.0,37.0,37.0,37.0,0.02,0.02,0.02,0.02,0.0,0.0,87598,87598,m_1863,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.0,
j_256626,3,0,0.0,0.0,0,0.0,28.666666666666668,33.0,28.666666666666668,33.0,0.02,0.02,0.02,0.02,0.0,0.0,87769,87775,m_1260,3,0,6,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,0.0,15.0,30.0,45.0,0.043333333333333335,0.05,0.13,2.15,87767.0,87775.0,5.0,8.0,0.0,8.0,0.3333333332962963,0.9999999996666666,346.15383816568067,32.0,9.772588722239782,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.36897339804397095,0.0,0.0,0.003915600671646312,0.005218253450565562,0.11206209753152305
j_2335735,8,0,0.0,2.5,4,1.6035674514745464,43.25,60.0,84.0,90.0,0.0225,0.04,0.02625,0.06,40.75,0.0037499999999999994,88073,88077,m_1095,8,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.003478835633710375,
j_186871,3,0,0.0,1.0,1,0.0,86.0,89.0,86.66666666666667,89.0,0.02,0.02,0.02,0.02,0.6666666666666666,0.0,88128,88793,m_2183,3,0,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_2183,37.08376596043216,14.612676359021592,96.0,90.85954819699734,3.78562519876842,98.0,43.40096253683176,32.93444226182124,3.9657639960712783,7127.0,0.4396969271783359,0.0,1.0,0.0,1.0,,,,,0.9091093440465798,0.0,,0.5783564241043498,
j_231055,73,0,0.0,52.42465753424658,112,44.57014378364712,86.89041095890411,179.0,283.4931506849315,850.0,0.2793150684931507,0.52,0.3361643835616438,0.55,196.6027397260274,0.05684931506849315,88133,88245,m_1320,70,0,112,5.0,5.0,73.0,27.0,14.6,3.0,0.6,2.0,0.6,50.0,50.0,250.0,0.41200000000000003,0.49,2.06,103.0,88133.0,88245.0,54.2,112.0,0.0,112.0,0.6460176991093273,0.119999999976,121.35922300640964,336.0,11.095824562432226,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.435074043441936,0.0,0.0,0.00762199018920739,0.0974073977438905,0.14627662122254548
j_538847,5,0,0.0,7.2,13,3.5637059362410923,85.0,96.0,105.6,125.0,0.068,0.17,0.08399999999999999,0.21,20.6,0.015999999999999997,88216,88229,m_1062,5,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.011306215809558718,
j_1120527,4,0,0.0,0.5,1,0.5773502691896257,84.0,95.0,84.0,95.0,0.02,0.02,0.02,0.02,0.0,0.0,88256,88265,m_1733,4,0,9,4.0,4.0,4.0,1.0,1.0,2.0,0.75,1.0,0.25,50.0,50.0,200.0,0.2,0.2,0.8,40.0,88253.0,88265.0,8.25,12.0,0.0,12.0,0.30769230766863903,0.187499999953125,249.99999875,24.0,6.218875824868201,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.19145196993545552,0.0,0.0,0.003611665972644795,0.007827380175848343,0.05915144790291062
j_766592,57,0,0.0,1.3859649122807018,3,0.6749176130915187,73.98245614035088,90.0,83.05263157894737,150.0,0.040175438596491225,0.28,0.04298245614035088,0.42,9.070175438596491,0.002807017543859648,88275,88278,m_176,53,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.002609126725282781,
j_519559,24,0,0.0,3.75,6,0.9890707100936805,50.25,73.0,69.75,93.0,0.05958333333333334,0.61,0.07666666666666667,0.81,19.5,0.017083333333333336,88442,88448,m_759,23,0,6,4.0,4.0,24.0,21.0,6.0,3.0,0.75,2.0,0.5,50.0,50.0,200.0,0.2975,0.59,1.19,59.5,88442.0,88448.0,4.25,6.0,0.0,6.0,3.4285714280816326,0.187499999953125,168.06722632582444,18.0,9.8283137373023,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.37175707374905775,0.0,0.0,0.04060486077916268,0.005218253450565562,0.11840058925917656
j_591305,10,0,0.0,0.2,1,0.4216370213557839,72.0,95.0,83.5,112.0,0.041,0.17,0.039,0.17,11.5,-0.0019999999999999996,88468,88469,m_1673,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.0008697089084275937,
j_212306,1,0,0.0,1.0,1,,67.0,67.0,67.0,67.0,0.02,0.02,0.02,0.02,0.0,0.0,88523,88524,m_1866,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,93.25,0.010230179028132993,,0.0,0.0,,0.0008697089084275937,
j_181726,2,0,0.0,0.0,0,0.0,62.0,87.0,88.5,90.0,0.03,0.04,0.01,0.02,26.5,-0.02,88676,88676,m_2322,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_2322,42.90576070901034,14.733401137400083,94.0,91.25760709010339,3.693468524396674,98.0,34.999395864106354,24.43824519940916,7.13751846381093,6770.0,0.47100295420974886,0.0,1.0,0.0,1.0,0.0,88.85714285714286,0.009962049335863378,,0.9738371143357022,0.0,,0.0,
j_1501569,1,0,0.0,1.0,1,,86.0,86.0,90.0,90.0,0.08,0.08,0.13,0.13,4.0,0.05,88808,88809,m_3465,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,84.81818181818181,0.009821428571428571,,0.0,0.0,,0.0008697089084275937,
j_1128241,384,0,0.0,21.869791666666668,38,12.986183618351411,88.7734375,185.0,307.4973958333333,765.0,1.1338802083333333,2.24,1.3309375,2.49,218.72395833333334,0.19705729166666672,88819,88857,m_1068,357,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,81.17391304347827,0.010217681030653044,,0.0,0.0,,0.03304893852024856,
j_698867,15,0,0.0,0.0,0,0.0,41.06666666666667,62.0,40.733333333333334,62.0,0.02,0.02,0.02,0.02,-0.3333333333333333,-0.0013333333333333333,88928,88928,m_119,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,79.375,0.01016949152542373,,0.0,0.0,,0.0,
j_1757734,3,0,0.0,0.3333333333333333,1,0.5773502691896258,70.66666666666667,82.0,70.66666666666667,82.0,0.02,0.02,0.02,0.02,0.0,0.0,89216,89223,m_1455,3,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,76.2,0.00944108761329305,,0.0,0.0,,0.006087962358993156,
j_454499,17,0,0.0,399.7647058823529,453,109.99575526569464,46.76470588235294,101.0,132.47058823529412,198.0,0.22352941176470587,0.24,0.2376470588235294,0.32,85.70588235294117,0.014117647058823533,89257,89710,m_101,17,0,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,73.53846153846153,0.009669021941242098,,0.0,0.0,,0.39397813551769995,
j_760527,428,0,0.0,3.0070093457943927,7,0.9810606647988163,87.58644859813084,128.0,96.22429906542057,200.0,0.0438785046728972,0.32,0.044906542056074764,0.42,8.63785046728972,0.00102803738317757,89342,89349,m_1065,373,0,7,11.0,11.0,428.0,366.0,38.90909090909091,4.0,0.9090909090909091,3.0,0.36363636363636365,50.0,50.0,550.0,0.21727272727272728,0.39,2.39,119.5,89342.0,89349.0,4.363636363636363,7.0,0.0,7.0,53.4999999933125,0.0826446280916604,230.12552195339717,28.0,15.546363568716018,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,87.5925925925926,0.00973323720259553,0.6573953347405396,0.0,0.0,0.6341241993010307,0.006087962358993156,0.2932504246711654
j_817330,3,0,0.0,3.0,9,5.196152422706632,80.33333333333333,105.0,103.0,173.0,0.05333333333333334,0.12,0.05333333333333334,0.16,22.666666666666668,2.3129646346357427e-18,89497,89506,m_1962,3,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_1962,39.18795803994827,12.428260078917477,90.0,90.30780284523638,4.328005393353317,98.0,46.375551084925995,35.92250179623509,9.068400632274752,6959.0,0.46188053839153137,0.0,1.0,0.0,1.0,0.0,84.71428571428571,0.009559576647319904,,0.9549757738350073,0.0,,0.007827380175848343,
j_1299251,6,0,0.0,3.0,3,0.0,21.333333333333332,25.0,24.333333333333332,30.0,0.02,0.02,0.02,0.02,3.0,0.0,89506,89509,m_1015,6,0,3,1.0,1.0,6.0,6.0,6.0,1.0,0.0,0.0,1.0,100.0,100.0,100.0,0.1,0.1,0.1,10.0,89504.0,89509.0,5.0,5.0,0.0,5.0,0.9999999998333333,0.0,999.99999,5.0,3.6390573296152584,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,82.10344827586206,0.009870660313138189,0.06258025835830686,0.0,0.0,0.011817902848269194,0.002609126725282781,0.02093813194352485
j_454366,50,0,0.0,79.72,226,60.98612756276661,96.98,109.0,266.42,481.0,0.1232,0.21,0.1396,0.35,169.44,0.016399999999999998,89653,89932,m_3266,19,0,279,5.0,5.0,50.0,33.0,10.0,3.0,0.8,2.0,0.4,100.0,100.0,500.0,0.45199999999999996,0.59,2.26,226.0,89647.0,89932.0,72.2,249.0,0.0,285.0,0.17482517482456356,0.15999999996800002,221.23893756363069,747.0,10.72358510195238,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,79.46666666666667,0.009724473257698542,0.4164792715706348,0.0,0.0,0.002036731622725489,0.24264878545129864,0.16164660903229405
j_1288107,136,0,0.0,3.838235294117647,8,2.9293422045971322,96.84558823529412,111.0,124.30882352941177,172.0,0.033308823529411766,0.05,0.03948529411764706,0.05,27.46323529411765,0.0061764705882352946,89692,89710,m_2055,131,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_2055,29.512299161097683,13.157709180630519,89.0,91.64993601592492,3.34965024729182,98.0,38.33379354471776,27.900715199772502,6.186833499217973,7033.0,0.4244968955874686,0.0,1.0,0.0,1.0,0.0,85.90322580645162,0.009923175416133162,,0.8776820360648344,0.0,,0.015654760351696686,
j_2371423,3,0,0.0,30.0,47,22.11334438749598,95.33333333333333,102.0,137.33333333333334,189.0,0.10666666666666667,0.24,0.12666666666666668,0.29,42.0,0.019999999999999993,89738,89826,m_187,3,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,83.78125,0.010094637223974764,,0.0,0.0,,0.07653438394162825,
j_744748,16,0,0.0,1.0625,3,0.5737304826019501,80.3125,97.0,86.3125,102.0,0.024375,0.03,0.025,0.03,6.0,0.0006249999999999999,89763,90155,m_431,15,0,392,12.0,12.0,16.0,5.0,1.3333333333333333,5.0,0.9166666666666666,4.0,0.4166666666666667,100.0,100.0,1200.0,0.36166666666666664,0.49,4.34,434.0,89761.0,90155.0,34.333333333333336,375.0,0.0,394.0,0.0405063291138215,0.07638888888252314,276.4976950880248,1875.0,14.398162701517753,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,83.9090909090909,0.010328638497652583,0.6000383496415942,0.0,0.0,0.0004445894621837009,0.34092589210361673,0.23121707712734832
j_1243638,2,0,0.0,4.0,4,0.0,74.0,134.0,167.5,272.0,0.025,0.03,0.025,0.03,93.5,0.0,89871,89875,m_1573,2,0,4,2.0,2.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,100.0,100.0,200.0,0.44,0.49,0.88,88.0,89871.0,89875.0,4.0,4.0,0.0,4.0,0.39999999992,0.249999999875,227.27272675619832,8.0,5.19722457733622,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,92.97058823529412,0.010293672419013019,0.14041661797304292,0.0,0.0,0.004705830888952997,0.003478835633710375,0.04335268537031238
j_719471,531,0,0.0,33.536723163841806,60,10.898159261078028,93.07532956685499,101.0,103.99811676082862,200.0,0.17416195856873823,0.44,0.21608286252354048,0.53,10.922787193973635,0.04192090395480226,89979,90472,m_3289,272,0,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,90.42857142857143,0.010260920551158018,,0.0,0.0,,0.4287664918548037,
j_1481593,2,0,0.0,0.0,0,0.0,62.5,75.0,61.0,72.0,0.02,0.02,0.0,0.0,-1.5,-0.02,89995,89995,m_3551,2,0,0,2.0,2.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,100.0,100.0,200.0,0.345,0.39,0.69,69.0,89995.0,89995.0,0.0,0.0,0.0,0.0,1.9999999979999998,0.249999999875,289.85507162360847,0.0,5.19722457733622,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,101.61111111111111,0.01050481470674059,0.14041661797304292,0.0,0.0,0.023671356093777025,0.0,0.04567568880597943
j_2224761,256,0,0.0,5.58203125,10,0.8728527574995163,37.40234375,86.0,59.84765625,200.0,0.0299609375,0.03,0.030039062499999998,0.04,22.4453125,7.812500000000002e-05,90049,90064,m_1295,254,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,98.86486486486487,0.010629129560471129,,0.0,0.0,,0.013045633626413906,
j_950750,1,0,0.0,0.0,0,,46.0,46.0,46.0,46.0,0.02,0.02,0.02,0.02,0.0,0.0,90315,90315,m_3523,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,96.65789473684211,0.010141446490525754,,0.0,0.0,,0.0,
j_499568,29,0,0.0,5.448275862068965,12,2.6129650221341563,50.86206896551724,92.0,141.3793103448276,260.0,0.039310344827586205,0.12,0.04206896551724138,0.12,90.51724137931035,0.002758620689655173,90672,90684,m_1335,24,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,94.17948717948718,0.009502923976608188,,0.0,0.0,,0.010436506901131124,
j_522658,1,0,0.0,1.0,1,,61.0,61.0,61.0,61.0,0.02,0.02,0.03,0.03,0.0,0.009999999999999998,90704,90705,m_2684,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,92.125,0.00967117988394584,,0.0,0.0,,0.0008697089084275937,
j_1741743,1,0,0.0,3.0,3,,97.0,97.0,103.0,103.0,0.05,0.05,0.08,0.08,6.0,0.03,90902,90905,m_1480,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,89.90243902439025,0.009460083064143978,,0.0,0.0,,0.002609126725282781,
j_997634,1,0,0.0,0.0,0,,71.0,71.0,71.0,71.0,0.02,0.02,0.02,0.02,0.0,0.0,90936,90936,m_2925,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,50.0,50.0,0.3,0.3,0.3,15.0,90933.0,90936.0,3.0,3.0,0.0,3.0,0.2499999999375,0.0,166.6666661111111,3.0,2.386294361119891,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,87.83333333333333,0.009615384615384616,0.0,0.0,0.0,0.0029278128990745584,0.0,0.0004391719348611838
j_1833067,2,0,0.0,0.0,0,0.0,83.0,93.0,83.0,93.0,0.03,0.04,0.0,0.0,0.0,-0.03,90953,90953,m_2262,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_2262,46.8044425087108,10.519216956372428,83.0,91.6335656213705,3.1477142614337468,98.0,45.78935975609756,38.187517421602784,7.678716608594657,6888.0,0.4870557491289198,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,85.79069767441861,0.009806157354618015,,0.9999999979324182,0.0,,0.0,
j_1986850,7,0,0.0,2.142857142857143,3,0.6900655593423541,25.571428571428573,49.0,53.714285714285715,77.0,0.11571428571428573,0.13,0.17,0.17,28.142857142857142,0.054285714285714305,90998,91001,m_1550,7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,83.8409090909091,0.009932279909706545,,0.0,0.0,,0.002609126725282781,
j_2374925,83,0,0.0,13.903614457831326,34,8.054107356682001,48.71084337349398,66.0,105.51807228915662,293.0,0.025060240963855424,0.11,0.027590361445783133,0.11,56.80722891566265,0.0025301204819277107,91058,91092,m_1600,74,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,82.04444444444445,0.01002227171492205,,0.0,0.0,,0.029570102886538187,
j_2259158,3,0,0.0,1.0,2,1.0,63.333333333333336,93.0,66.33333333333333,93.0,0.02,0.02,0.02,0.02,3.0,0.0,91251,91625,m_1769,3,0,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,81.0,0.009822763185991885,,0.0,0.0,,0.3252711317519201,
j_936728,3,0,0.0,1.0,1,0.0,57.0,77.0,57.333333333333336,77.0,0.02,0.02,0.023333333333333334,0.03,0.3333333333333333,0.0033333333333333327,91579,91587,m_1008,3,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,87.23404255319149,0.009379365396128516,,0.0,0.0,,0.00695767126742075,
j_2341085,3,0,0.0,1.0,1,0.0,66.66666666666667,91.0,67.0,91.0,0.023333333333333334,0.03,0.016666666666666666,0.05,0.3333333333333333,-0.006666666666666665,91778,91779,m_2385,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,85.58333333333333,0.009213051823416507,,0.0,0.0,,0.0008697089084275937,
j_2276538,1,0,0.0,3.0,3,,118.0,118.0,124.0,124.0,0.04,0.04,0.08,0.08,6.0,0.04,91991,91994,m_827,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,83.85714285714286,0.00903558915729301,,0.0,0.0,,0.002609126725282781,
j_1913812,15,0,0.0,1.2666666666666666,3,0.7037315505489968,59.333333333333336,88.0,78.26666666666667,100.0,0.04800000000000001,0.16,0.059333333333333335,0.23,18.933333333333334,0.011333333333333334,92313,92316,m_1650,15,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,82.24,0.008703220191470844,,0.0,0.0,,0.002609126725282781,
j_1785584,1,0,0.0,0.0,0,,26.0,26.0,26.0,26.0,0.02,0.02,0.02,0.02,0.0,0.0,92641,92641,m_795,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,80.68627450980392,0.008397826444920138,,0.0,0.0,,0.0,
j_226824,3,0,0.0,0.6666666666666666,1,0.5773502691896258,25.666666666666668,30.0,26.333333333333332,30.0,0.02,0.02,0.02,0.02,0.6666666666666666,0.0,92673,92990,m_1364,3,0,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,79.13461538461539,0.008517608517608518,,0.0,0.0,,0.2756977239715472,
j_2296210,4,0,0.0,3.75,5,1.2583057392117916,91.5,100.0,98.5,107.0,0.1175,0.24,0.155,0.29,7.0,0.0375,92950,92955,m_2496,4,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,83.62264150943396,0.008304606706361642,,0.0,0.0,,0.004348544542137968,
j_219730,1,0,0.0,1.0,1,,73.0,73.0,73.0,73.0,0.02,0.02,0.02,0.02,0.0,0.0,93052,93053,m_1358,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,50.0,50.0,0.2,0.2,0.2,10.0,93050.0,93053.0,3.0,3.0,0.0,3.0,0.2499999999375,0.0,249.99999875,3.0,2.386294361119891,,,,,,,,,,,,,1.0,1.0,0.25881904510252074,0.9659258262890683,0.0,82.16666666666667,0.008328192473781616,0.0,0.0,0.0,0.0029278128990745584,0.0008697089084275937,0.0005696282711253228
